koi_disposition,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol
CONFIRMED,6.252962249,171.30126,0.105,2.5819,1036.9,2.65,823,108.3
CONFIRMED,32.62876672,194.1019,0.021,4.7971,1804.8,3.36,506,15.55
CONFIRMED,91.7732862,193.8378,0.606,6.473,652,2.12,359,3.92
CANDIDATE,4.959319244,172.2585292,0.831,2.22739,9802,12.21,1103,349.4
FALSE POSITIVE,2.701287801,170.69579,1.016,3.3827,860.4,6.54,1222,527.81
CONFIRMED,4.49876511,171.34905,0.312,3.7362,460,2.1,1133,389.62
FALSE POSITIVE,19.65120951,179.401981,0.723,5.2514,11766,12.42,730,67.03
CONFIRMED,5.412203927,133.143089,0.787,2.9472,601.6,2.94,1093,337.68
CONFIRMED,41.43958662,208.93203,0.355,10.5989,2793.1,5.5,516,16.72
CONFIRMED,8.35389523,171.63257,0.023,2.2514,1041.6,2.52,790,91.9
CONFIRMED,4.125543472,169.752585,0.597,3.1744,1487.3,4.43,1243,565.35
CONFIRMED,2.816504904,170.9676846,0.105,2.50587,16814,12.21,1219,521.13
FALSE POSITIVE,33.93373447,186.67608,0.812,14.561,8503.7,7.34,430,8.11
CONFIRMED,4.431238488,171.015,0.405,3.15,1010.9,3.25,1104,351.23
CONFIRMED,11.37936986,133.84992,0.911,2.6255,1023.5,3.95,806,99.68
CONFIRMED,13.57078281,136.279194,0.866,3.3539,511.7,2.64,785,89.61
CONFIRMED,7.12594387,139.00492,0.898,3.0014,192.4,1.79,997,233.31
FALSE POSITIVE,7.442652004,169.9717797,0.137,2.3078,24446,15.03,967,206.78
CONFIRMED,16.38489988,172.72782,0.001,3.0249,1127.1,2,433,8.35
CONFIRMED,36.4454001,151.60125,0.028,4.007,1122.3,1.99,332,2.88
CONFIRMED,3.728732147,171.793255,0.558,2.683,5226.5,6.02,1023,258.34
CANDIDATE,40.4195037,173.56469,0.911,3.362,6256,7.51,467,11.29
CONFIRMED,2.243380573,170.679233,0.915,1.1196,821.7,1.99,822,107.6
CONFIRMED,2.337437946,171.761982,0.28,1.9982,971.2,2.34,1070,311.16
CANDIDATE,7.2406612,137.75545,1.198,0.558,556.4,19.45,734,68.63
CANDIDATE,3.43591631,132.6624,0.624,3.133,23.2,0.55,1272,617.61
CONFIRMED,11.59822233,180.395376,0.679,2.5237,2804.5,2.65,396,5.82
CONFIRMED,7.275040844,169.994217,0.547,7.5377,3001,4.86,833,113.64
CONFIRMED,19.27153892,186.77093,0.031,2.7594,1219.8,1.93,393,5.66
CONFIRMED,10.06524317,136.28906,0.628,1.369,1053.3,1.91,488,13.43
CONFIRMED,12.3935651,178.74725,0.883,3.8896,916.6,2.66,677,49.68
CONFIRMED,43.84439721,151.93538,0.852,6.802,615.2,2.87,531,18.77
FALSE POSITIVE,3.341913228,171.63943,1.213,3.813,725.3,21.55,1032,268.67
CANDIDATE,1.626630225,169.820171,1.26,2.1145,1620.6,32.43,1547,1355.88
CONFIRMED,60.4189369,181.16367,0.094,5.039,931.3,2.36,390,5.49
CONFIRMED,12.61190435,180.892284,0.55,5.1497,6105.6,7.4,753,76.15
FALSE POSITIVE,1.433769925,170.403536,1.268,1.8868,1976.3,46.58,1920,3209.29
CONFIRMED,2.539183147,169.67494,0.238,2.4282,382.1,2.06,1332,743.09
CONFIRMED,6.770300385,170.57662,0.838,2.0844,1304,2.77,812,102.87
FALSE POSITIVE,0.444291966,169.865406,1.258,2.0792,10967,27.51,1836,2706.26
CANDIDATE,10.181584,177.141891,0.92,3.5089,5741.1,7.73,812,102.91
CONFIRMED,20.06036336,147.46554,0.556,3.3203,1494.7,1.96,361,4
CONFIRMED,46.1842039,165.23729,0.013,4.758,1394.7,1.83,273,1.32
CONFIRMED,23.9800854,147.537,0.95,5.351,104,1.31,649,41.94
CONFIRMED,3.895936525,170.527552,0.524,2.3111,8544.8,7.34,1005,241.62
CONFIRMED,22.36646466,175.45862,0.4,5.228,986.8,2.32,536,19.45
CONFIRMED,1.625522174,170.8266564,0.076,2.38963,7969,9.73,1579,1467.41
FALSE POSITIVE,7.544039,171.7982,1.175,6.222,322.6,17.47,838,116.46
CANDIDATE,9.02930689,177.20422,0.024,3.1449,1019.8,2.57,757,77.75
FALSE POSITIVE,10.32803571,174.581054,0.281,7.7915,16918,13.28,843,119.31
CONFIRMED,6.164876,135.63916,0.646,3.262,55.8,0.79,1021,256.35
CONFIRMED,60.32494216,243.892578,0.224,6.6188,20280,12.19,411,6.77
FALSE POSITIVE,1.540397253,170.50479,1.225,2.1541,816.1,25.69,1470,1105.68
FALSE POSITIVE,2.99025443,171.9834,0.014,5.414,589.2,1.7,918,168.45
CONFIRMED,1.594745374,170.6483505,0.514,1.9604,15044,11.3,1539,1329.42
CANDIDATE,4.783002698,170.508434,0.003,2.335,1008.7,2.5,886,145.48
CONFIRMED,3.340218842,171.979062,0.466,1.9104,1632.6,2.03,656,43.73
FALSE POSITIVE,2.507089906,171.002455,1.255,2.0067,1339.2,30.26,1326,730.47
CONFIRMED,18.64932728,174.771,0.08,4.4056,893.6,3.12,701,57.13
CONFIRMED,9.75192101,138.78608,0.949,4.793,418,2.76,870,135.66
CONFIRMED,38.5576546,163.85063,0.911,5.794,993,4.02,550,21.71
CONFIRMED,3.525632539,170.0479951,0.12,2.59959,22335,11.58,975,213.12
CONFIRMED,7.748094239,174.997206,0.517,3.5957,2472.1,5.52,964,204.39
CONFIRMED,8.11437482,176.33968,0.573,2.2736,1558,2.1,460,10.55
FALSE POSITIVE,38.03672948,196.934947,0.501,4.34617,82872,27.5,500,14.81
FALSE POSITIVE,4.64090031,173.64638,1.28,35.512,2450.6,30.09,1155,421.08
CONFIRMED,14.74914825,138.77799,0.173,6.0995,430.2,2.89,874,137.91
CONFIRMED,21.81295996,174.01085,0.053,4.3791,1175.4,3.38,639,39.33
CONFIRMED,15.37562369,173.61402,0.692,3.3169,15337,11.01,600,30.54
CONFIRMED,8.10363271,176.9486,0.047,3.161,887.9,2.11,687,52.82
CONFIRMED,4.71510843,134.96178,0.258,2.506,417.5,1.46,823,108.84
CONFIRMED,6.365839713,171.13575,0.524,2.9721,780.7,2.44,914,165.33
CONFIRMED,3.04033046,169.9490106,0.736,1.8411,10859,8.99,1021,257.29
CONFIRMED,31.33046135,153.43031,0.798,5.176,5073.8,6.5,481,12.61
FALSE POSITIVE,9.286358079,171.8214689,0.377,3.49949,44791,17.61,796,95.03
CONFIRMED,13.23352214,140.32196,0.014,6.7372,504.6,3.06,888,146.67
CONFIRMED,6.15560285,134.81656,0.235,4.9843,285,2.32,1146,406.94
CONFIRMED,2.090811305,134.17462,0.746,3.388,115.9,1.62,1642,1718.04
CONFIRMED,3.180027898,133.49863,0.196,3.5797,120.3,1.53,1458,1066.86
CONFIRMED,56.2279271,132.29259,0.7,3.57,862.7,2.37,366,4.22
FALSE POSITIVE,2.384052875,171.58362,1.178,3.0918,1268.1,17.06,1010,244.87
CONFIRMED,7.953547,174.66224,0.3,2.6312,875.4,2.25,696,55.37
CONFIRMED,4.14451656,135.92831,0.004,2.3421,391.8,1.48,864,132.08
FALSE POSITIVE,4.859386384,173.011469,1.259,2.2757,6044.3,38.33,1114,364.23
CONFIRMED,4.583520948,169.973972,0.045,2.7055,3812.1,5.39,1038,274.98
CONFIRMED,8.20396958,169.69138,0.823,2.9667,1024.4,3.01,742,71.5
CONFIRMED,14.49645186,143.41659,0.97,4.016,647.5,3.01,613,33.48
CANDIDATE,6.54626149,133.85964,0.644,2.75,655.9,2.19,810,101.78
CONFIRMED,12.71809866,175.35526,0.427,3.0957,1149.4,2.31,562,23.6
CONFIRMED,36.06588163,198.58423,0.26,4.3246,1563.8,2.64,397,5.88
CONFIRMED,4.190425659,171.44122,0.458,2.8589,2877.4,6.21,1234,547.9
CONFIRMED,3.709870784,171.987982,0.023,3.0694,2020.3,4.35,1151,415.1
CONFIRMED,16.3297527,177.29506,0.791,6.271,1187.5,3.75,727,66.08
CONFIRMED,27.80756622,186.713552,0.782,4.21587,25391,13.84,554,22.24
CONFIRMED,80.8723469,203.895,0.527,11.195,3604.6,7.59,452,9.88
CONFIRMED,24.99324319,138.68167,0.686,5.9409,269.6,2.29,712,60.88
CONFIRMED,10.35533116,170.93729,0.029,3.1775,750.6,2.47,777,86.22
CONFIRMED,16.08518937,180.28319,0.867,3.984,1442.4,3.68,613,33.43
CANDIDATE,235.9986399,208.399822,0.778,8.2284,20715,10.59,188,0.29
CONFIRMED,36.2761238,201.2869,0.035,4.7865,1572.6,3.03,445,9.29
CONFIRMED,17.46087931,137.26594,0.594,2.2641,812.4,2.32,568,24.6
CONFIRMED,56.0560754,201.16578,0.018,4.685,1626,1.94,233,0.69
CONFIRMED,41.40831669,195.78745,0.377,5.0264,22839,11.38,453,9.93
CANDIDATE,39.74893077,172.854644,0.881,7.3051,15179,14.21,552,21.87
CONFIRMED,49.18394185,141.911924,0.035,11.3364,1646.2,8.2,669,47.4
FALSE POSITIVE,13.61014819,173.987319,1.081,2.594,5732.9,19.02,733,68.29
FALSE POSITIVE,10.44331991,175.4046,0.23,2.743,1159.8,2.66,667,46.94
CONFIRMED,2.237489571,170.81914,0.128,1.8119,315.8,1.41,1160,427.17
FALSE POSITIVE,5.851520671,173.8228336,0.211,3.11058,33004,14.62,901,155.89
CONFIRMED,3.167893418,172.147959,0.026,2.1814,781.2,2.62,1221,526.23
CONFIRMED,4.311780262,173.576483,0.196,2.7251,1154,3.11,1038,274.84
CONFIRMED,20.0504494,188.08821,0.383,4.556,840.9,2.69,622,35.44
CONFIRMED,9.76734503,186.57718,0.9,1.6585,569.1,2.67,791,92.46
CANDIDATE,119.0207044,222.236492,0.076,8.1405,7430.5,8.98,366,4.25
FALSE POSITIVE,2.861159894,171.648106,0.965,1.8832,1014.3,4.37,1355,797.1
CONFIRMED,26.44439337,194.12074,0.03,3.9783,1843.5,3.91,562,23.54
CONFIRMED,51.53997972,174.055011,0.183,6.3994,3644.3,5.51,450,9.67
CONFIRMED,5.902245782,136.78393,0.209,2.9003,702.3,2.43,926,173.74
CONFIRMED,2.382951591,135.080841,0.479,1.8876,391.6,1.86,1253,583.01
CONFIRMED,21.02250608,207.67593,0.036,4.1072,1772.5,3.07,521,17.48
CONFIRMED,3.219814777,133.00406,0.06,2.0642,488.2,1.69,998,234.93
FALSE POSITIVE,12.94066866,179.423014,0.897,2.4845,42450,22.94,723,64.64
CONFIRMED,33.60123371,186.680343,0.67,4.4056,7425.9,8.46,495,14.22
CONFIRMED,4.601811819,169.98108,0.567,2.2607,755.9,2.35,896,152.91
CONFIRMED,11.18719905,137.17814,0.387,3.252,353.6,1.55,667,46.65
CONFIRMED,5.95489993,170.955871,0.327,2.3892,1410.7,2.33,635,38.52
CONFIRMED,12.03987488,181.22536,0.286,2.7363,1250.6,2.18,502,15.06
CONFIRMED,20.83762895,132.08488,0.706,2.3734,439,1.42,418,7.24
FALSE POSITIVE,8.8111022,136.4568,1.223,5.0683,401.1,63.66,1399,904.92
CONFIRMED,23.58917143,173.81994,0.926,5.073,1200.7,3.16,487,13.34
CONFIRMED,6.481633073,122.977657,0.833,3.784,298.5,2.54,1145,406.25
CONFIRMED,10.37168928,172.61729,0.537,3.035,1254.9,3.2,720,63.68
CANDIDATE,3.96996298,137.75447,0.836,1.1757,299.2,1.78,992,229.37
CONFIRMED,226.8904775,207.35971,0.731,7.558,3136.4,4.53,236,0.73
FALSE POSITIVE,1.956811408,170.694208,1.091,2.1958,24905,21.58,1109,357.16
CANDIDATE,2.688899233,170.1020904,0.001,2.11275,37492,12.04,929,175.76
CONFIRMED,9.439459486,177.186096,0.049,2.8979,3036.1,4.16,686,52.32
CONFIRMED,11.52306746,131.969055,0,3.8757,507.3,3.13,927,174.81
CONFIRMED,20.47748843,178.66786,0.497,2.8364,1382.4,2.92,530,18.65
CONFIRMED,3.336123113,135.31623,0.252,1.9616,516.3,1.74,970,209.79
CONFIRMED,8.01078456,170.20739,0.192,2.312,1333.6,1.72,453,9.9
CONFIRMED,12.07134205,143.45948,0.014,4.3224,759.2,1.29,395,5.74
CONFIRMED,20.99587872,152.31554,0.228,2.6333,767.3,1.3,328,2.74
FALSE POSITIVE,1.000747038,169.974229,0.908,0.9967,1823.5,4.14,1620,1635.2
CONFIRMED,8.884922995,169.991686,0.069,2.07004,16053,10.51,770,83.21
CONFIRMED,8.09888906,176.623731,0.018,4.20241,6911.1,8.95,986,223.19
CONFIRMED,10.00653012,176.96898,0.862,5.344,936.1,3.52,876,139.21
CONFIRMED,17.85522168,146.596466,0.075,7.41287,9065.2,13.16,911,163.04
CANDIDATE,83.92494032,236.76334,0.658,6.7904,7958.7,4.78,226,0.62
CONFIRMED,5.007316661,173.433997,0.344,4.2362,6932.3,6.96,998,234.28
CONFIRMED,2.211116989,170.150139,0.69,1.6485,724.2,1.85,931,177.19
CONFIRMED,27.9541337,178.73791,0.063,3.95,942.5,1.9,400,6.04
CONFIRMED,12.69104387,137.12594,0.008,3.7727,252.1,2.57,1008,244.3
FALSE POSITIVE,4.409409243,171.89433,0.028,3.8636,12861,10.95,1101,347.06
CONFIRMED,16.23947096,175.569907,0.043,4.0374,2590.7,4.14,598,30.14
CONFIRMED,2.052349884,169.890622,0.437,2.0778,14281,13.12,1497,1183.18
CONFIRMED,9.7704486,175.71372,0.09,2.4517,1897.8,2.23,460,10.59
CONFIRMED,5.169804269,172.63153,0.351,2.153,1037.4,1.66,569,24.75
CONFIRMED,21.22261195,137.57403,0.02,6.5093,366,2.48,771,83.56
CONFIRMED,20.09017037,147.97788,0.886,4.154,1432.1,2.25,362,4.05
CONFIRMED,7.11373257,174.32351,0.334,2.1764,807.6,1.16,429,8.01
CONFIRMED,3.306551643,134.37211,0.001,1.8177,509.2,0.91,554,22.19
CONFIRMED,15.36845737,147.38965,0.115,2.4714,756.1,1.11,332,2.86
CANDIDATE,13.81020318,172.33533,0.791,3.048,1309.7,4.56,833,113.75
CONFIRMED,4.093578461,171.00954,0.93,2.5833,538.6,2.85,1182,461.07
CONFIRMED,105.145959,178.367,0.964,8.593,685.4,3.43,401,6.09
CONFIRMED,10.8484518,171.80584,0.21,2.9993,1675.6,2.34,499,14.66
CONFIRMED,4.082274889,169.6375652,0.093,3.23015,17859,10.55,1016,251.48
CANDIDATE,3.886655224,169.73814,0.649,3.1646,581.6,1.87,1010,246.29
CONFIRMED,42.1406089,139.0604,0.045,5.083,895.5,1.85,349,3.49
CONFIRMED,10.19849255,137.92067,0.714,2.4283,634.1,1.75,559,23.11
FALSE POSITIVE,5.795063956,172.697467,0.949,3.2496,1692.9,4.33,950,192.74
CONFIRMED,7.15681552,174.13511,0.45,2.5882,867,2.47,782,88.23
CONFIRMED,17.64830851,133.54533,0.653,2.0873,763.3,2.43,579,26.49
CONFIRMED,16.51410989,176.11686,0.395,4.1575,973.5,2.72,655,43.57
CONFIRMED,4.79090809,136.31106,0.11,2.603,251.3,1.36,990,227.24
CONFIRMED,31.71981013,142.82083,0.125,4.819,363.4,3.09,743,71.97
CONFIRMED,99.6415962,198.68664,0.028,4.448,952.5,2.64,360,3.97
CONFIRMED,4.708326451,171.446507,0.061,3.16114,7912.7,10.6,1162,431.02
FALSE POSITIVE,16.37198661,172.75926,9.303,3.8449,4147.6,540.37,438,8.71
CONFIRMED,5.392026903,171.72707,0.314,2.9804,1151.4,2.68,850,123.33
CONFIRMED,6.491682808,174.633553,0.535,4.301,7163.3,9.66,1062,301.54
FALSE POSITIVE,3.044770796,172.01916,1.252,10.0134,1695,24.54,1076,317.36
CONFIRMED,3.855603916,170.6787843,0.348,3.2179,16653,13.61,1212,508.65
FALSE POSITIVE,3.855599139,170.67957,0.864,3.183,1030.9,3.57,1158,425.74
CONFIRMED,38.47876629,151.852812,0.003,5.04169,23530,13.26,484,13.01
FALSE POSITIVE,37.60166128,194.713383,0.408,8.30604,59130,27.22,606,31.86
CONFIRMED,3.314947362,171.313058,0.799,1.8007,1398.2,3.94,1155,421.03
FALSE POSITIVE,6.71969089,173.35776,0.985,3.0231,969.7,4.37,952,194.18
CONFIRMED,39.6431552,206.596798,0.062,6.5292,15664,10.98,472,11.74
CONFIRMED,21.80451611,190.49737,0.751,3.4097,1144.9,2.6,543,20.48
CONFIRMED,10.28194593,175.33988,0.168,3.4366,1110.7,2.53,680,50.6
CONFIRMED,18.11993039,182.61535,0.206,4.2309,1506.9,2.95,563,23.77
CONFIRMED,3.78402867,133.28133,0.691,1.9012,426.1,1.7,949,191.78
CONFIRMED,5.15448142,171.6389,0.933,3.228,697.5,2.94,964,204.1
FALSE POSITIVE,33.80364366,202.259731,0.023,11.4813,13494,20.7,745,72.71
CONFIRMED,5.743469797,174.898924,0.001,3.4412,1240.2,3.13,982,219.95
CANDIDATE,39.4759093,173.31207,0.938,2.968,1012.6,4.06,577,26.13
FALSE POSITIVE,19.97448524,171.6300909,0.886,4.23479,40293,26.56,700,56.84
CONFIRMED,3.166353562,170.966145,0.032,3.3129,1473.4,3.82,1273,621.92
FALSE POSITIVE,23.89963441,188.982797,1.245,3.81881,20953,44.04,652,42.8
CONFIRMED,5.83909761,132.09261,0.341,3.1915,273.6,2.06,1097,341.48
CONFIRMED,1.620467654,132.06388,0.271,2.1888,159.6,1.57,1681,1893.42
CONFIRMED,10.6816951,131.55082,0.646,3.605,307.8,2.3,897,152.75
CONFIRMED,6.104849417,169.573477,0.041,4.6912,2090.3,3.18,784,89.25
CONFIRMED,3.578780566,134.0304187,0.079,2.91089,11382,10.43,1145,406.6
FALSE POSITIVE,3.187067566,171.64976,1.234,3.119,1037.4,23.88,1079,319.76
CONFIRMED,5.826657508,173.011411,0.033,2.9183,1539.1,4.09,1013,248.57
CONFIRMED,12.41216347,142.54039,0.021,3.739,611.3,2.58,787,90.65
CONFIRMED,18.74649011,147.13074,0.508,3.895,796.8,3.05,686,52.38
CONFIRMED,42.63427848,141.16954,0.142,6.1998,1719.3,5.22,615,33.82
CONFIRMED,87.6476068,134.94222,0.147,8.871,1009.6,4,484,12.94
CONFIRMED,9.467821474,178.415842,0.081,2.4327,2237,2.13,407,6.47
CONFIRMED,4.942783419,136.3294353,0.566,3.25346,11145,10.62,1008,244.42
CONFIRMED,20.83426731,176.58569,0.256,4.0454,988.4,2.74,595,29.62
CONFIRMED,9.94602357,171.70192,0.035,3.3862,994.5,3.12,807,100.34
CONFIRMED,1.04562195,133.91912,0.037,1.8955,213,1.45,1710,2031.84
CONFIRMED,5.71462396,132.63866,0.503,2.336,297.8,1.78,971,210.16
CANDIDATE,102.9641952,158.07473,0.922,15.735,1896.7,39,797,95.4
CONFIRMED,8.14515981,140.56811,0.965,5.073,446.8,3.43,1050,287.91
CONFIRMED,18.9985279,144.74157,1.3,4.529,430.7,43.17,792,93.03
CONFIRMED,4.24439049,137.06643,0.949,3.282,174,2.07,1305,686.99
CANDIDATE,90.1240507,356.23415,0.698,11.649,3020.3,7.12,485,13.09
CONFIRMED,28.5742692,143.8315,0.068,4.9427,824.9,2.32,538,19.83
CANDIDATE,0.689210173,133.28584,0.154,1.6169,195,1.32,1943,3362.71
FALSE POSITIVE,0.379463865,170.2480164,1.246,0.86896,1973.3,59.56,3000,19256.81
FALSE POSITIVE,9.88047978,173.608672,1.02,2.78458,18541,23.6,860,129.45
FALSE POSITIVE,17.51201477,174.282592,0.994,1.8248,4511.7,13.66,804,98.77
FALSE POSITIVE,3.9886021,171.01852,0.06,1.7376,673.5,34.39,3145,23135.72
FALSE POSITIVE,0.525154153,133.744359,1.226,2.1441,747.5,23.61,2073,4391.51
FALSE POSITIVE,1.303861044,134.212059,1.258,4.0541,598.2,27.85,1610,1595.19
FALSE POSITIVE,2.55549176,134.50078,1.228,9.083,113.8,23.35,1312,701.68
FALSE POSITIVE,2.947376671,171.522978,2.641,2.0911,433.2,403.59,2404,7903.84
FALSE POSITIVE,5.76573396,133.30941,0.708,2.924,248,7.47,1964,3518.78
FALSE POSITIVE,0.73094589,133.68876,1.169,4.32,250.2,17.12,1922,3248.17
CONFIRMED,18.92537246,149.49558,0.806,3.9835,640.9,13.92,1171,443.58
FALSE POSITIVE,0.933749106,134.31831,0.736,4.256,186.2,3.22,2863,15822.49
FALSE POSITIVE,2.037440623,133.59962,0.715,3.442,118.6,1.19,1572,1448.05
CONFIRMED,31.5925809,142.9649,0.283,13.566,145.1,1.78,688,53.09
CONFIRMED,1.97376085,178.6894194,0.337,1.82542,30222,8.78,753,76.1
CANDIDATE,13.11896244,261.539434,0.042,4.3045,372.2,8.25,1768,2310.43
FALSE POSITIVE,4.618767792,133.386535,0.766,5.9957,4399.1,7.48,1170,442.78
FALSE POSITIVE,7.82187328,123.49907,0.005,3.8417,42.2,2.78,2101,4601.71
CANDIDATE,53.5057611,172.98304,0.46,10.5616,195.6,2.52,675,49.16
CONFIRMED,2.785821236,260.83731,0.893,3.5599,68.9,1.69,1784,2388.98
FALSE POSITIVE,52.56901867,184.971267,1.197,6.7507,26900,78.54,737,69.62
CANDIDATE,6.79685353,138.11324,0.62,3.1702,393.1,2.01,985,222.91
FALSE POSITIVE,8.667822346,137.341841,1.276,4.9658,2121.9,67.37,1303,681.39
CONFIRMED,1.475323222,131.83272,0.136,2.3155,154.9,5.88,2740,13331.51
CONFIRMED,4.15246118,134.57991,0.639,2.5755,223.4,7.62,1941,3354.56
CONFIRMED,8.7348852,135.0818,0.314,4.49,270.7,1.59,890,148.62
FALSE POSITIVE,10.26547688,136.49663,0.69,3.733,399.6,1.81,770,83.13
CANDIDATE,13.4471791,132.830555,0.963,3.0454,1428.2,5.24,848,122.34
FALSE POSITIVE,3.305577989,180.68154,1.145,2.5903,17971,25.89,1027,263.55
FALSE POSITIVE,4.800653901,134.365782,0.785,9.0419,15304,16.91,1347,778.45
FALSE POSITIVE,15.06649901,140.654788,1.018,5.9885,36348,56.44,932,177.96
FALSE POSITIVE,34.82008158,163.015559,0.663,11.1711,18848,11.36,459,10.49
FALSE POSITIVE,0.651784374,133.111707,1.224,2.0141,2779.3,33.65,2090,4500.59
CANDIDATE,1.353771892,261.43662,1.203,7.012,1349.1,430.99,4903,136609.48
FALSE POSITIVE,18.95491633,262.46677,1.228,24.249,867.5,71.39,1139,397.48
FALSE POSITIVE,67.5923754,151.75056,0.728,12.249,4158.1,12.1,588,28.2
CONFIRMED,17.02902786,143.33395,0.202,4.645,568.9,2.54,755,76.66
CONFIRMED,6.84619236,132.17265,0.077,3.529,246.8,1.67,1022,258.41
CONFIRMED,67.8321638,125.881,0.027,7.358,507.8,2.39,476,12.14
CONFIRMED,25.93406406,149.76273,0.014,4.6142,414.5,2.48,695,55.1
CONFIRMED,83.4463485,158.68061,0.058,6.536,503,2.73,471,11.59
CONFIRMED,12.99204853,136.32016,0.091,6.0175,270.6,2.03,866,132.94
FALSE POSITIVE,11.11620211,133.100575,0.937,4.211,4843.9,8.96,853,125.21
FALSE POSITIVE,1.922861499,134.658644,0.943,3.5734,1916.2,5.09,1392,884.12
FALSE POSITIVE,0.635445336,134.184037,1.253,1.8592,2547.4,19,1177,451.42
FALSE POSITIVE,1.665784138,133.863028,1.27,1.8946,2006.2,97.27,2636,11424.49
CONFIRMED,52.09081627,158.744665,0.065,8.6388,2894.1,7.14,592,29.07
CONFIRMED,8.18739443,260.86931,0.377,3.0472,517.6,1.92,782,88.36
CONFIRMED,3.341799486,141.35472,0.426,2.9254,178.2,1.67,1356,798.41
FALSE POSITIVE,36.97708808,133.62681,1.246,4.737,1269.9,38.6,602,31.08
FALSE POSITIVE,1.303859704,134.21201,0.674,2.8239,36.7,0.98,2393,7759.2
FALSE POSITIVE,145.5624926,146.0588,1.274,5.4126,2931.6,40.15,387,5.33
CONFIRMED,3.749105745,135.10837,0.942,1.9826,182.6,1.68,1160,428.25
CONFIRMED,11.08956602,141.76142,0.02,6.2877,148.1,3.51,1422,965.62
FALSE POSITIVE,7.24476126,139.10497,0.04,2.3145,58,0.65,837,116.02
CANDIDATE,119.0624882,149.22223,0.968,3.1188,5372.3,10.4,366,4.26
CONFIRMED,8.70798309,363.05638,0.063,2.4904,1419.6,2.01,543,20.59
FALSE POSITIVE,14.8623076,354.57297,0.324,3.161,840,1.57,454,10.08
CONFIRMED,27.40229859,133.6284,0.022,6.8491,747.5,3.63,734,68.46
CONFIRMED,3.179267286,261.841607,0.171,1.0246,200.9,1.21,1101,347.01
CONFIRMED,24.5709023,135.87209,0.945,3.587,764.2,2.82,505,15.33
FALSE POSITIVE,0.817026268,132.835239,0.01,2.0799,1145.5,2.92,1784,2386.13
CONFIRMED,3.024092505,132.4168573,0.424,2.8021,7765,12.14,1489,1162.54
CANDIDATE,5.670155713,136.201739,1.267,0.9361,536.7,5.85,341,3.21
CONFIRMED,1.022678654,133.45422,0.019,1.3712,129.2,1.14,1734,2138.47
CONFIRMED,12.10968709,140.21258,0.924,6.3461,284.7,2.98,1005,240.8
CONFIRMED,4.75796103,137.69636,0.621,4.66,124.5,1.7,1372,835.65
CONFIRMED,20.4972755,147.43894,0.966,8.536,242.9,2.96,843,119.42
FALSE POSITIVE,13.55480534,139.81609,0.497,2.288,48.3,0.62,679,50.41
FALSE POSITIVE,29.74454668,172.386652,0.337,23.2842,66894,20.06,455,10.1
FALSE POSITIVE,14.15402428,140.698466,1.1,4.47001,61625,53.25,777,86.13
